date,open,high,low,close,volume
2022-04-18T17:10:00.000Z,41.215,41.27,41.185,41.2,3755.0
2022-04-18T17:20:00.000Z,41.185,41.255,41.18,41.2,3791.0
2022-04-18T17:30:00.000Z,41.2,41.22,40.98,40.975,63818.0
2022-04-18T17:40:00.000Z,40.975,41.025,40.95,40.99,12596.0
2022-04-18T17:50:00.000Z,41.005,41.055,40.98,41.005,14200.0
2022-04-18T18:00:00.000Z,41.005,41.015,40.925,40.96,19659.0
2022-04-18T18:10:00.000Z,40.965,41.025,40.94,40.98,20365.0
2022-04-18T18:20:00.000Z,40.985,41.02,40.905,40.92,26109.0
2022-04-18T18:30:00.000Z,40.935,41.055,40.905,41.05,21088.0
2022-04-18T18:40:00.000Z,41.045,41.065,40.95,40.975,17778.0
2022-04-18T18:50:00.000Z,40.975,41.055,40.97,41.04,11633.0
2022-04-18T19:00:00.000Z,41.035,41.22,41.035,41.205,25899.0
2022-04-18T19:10:00.000Z,41.205,41.24,41.155,41.165,27648.0
2022-04-18T19:20:00.000Z,41.185,41.19,41.08,41.08,17168.0
2022-04-18T19:30:00.000Z,41.075,41.075,40.88,40.92,28328.0
2022-04-18T19:40:00.000Z,40.915,40.935,40.87,40.895,40304.0
2022-04-18T19:50:00.000Z,40.875,40.92,40.82,40.845,40803.0
2022-04-18T20:00:00.000Z,40.845,40.845,40.845,40.845,0.0
2022-04-19T13:30:00.000Z,40.09,40.365,40.04,40.33,3718.0
2022-04-19T13:40:00.000Z,40.33,40.59,40.26,40.305,2886.0
2022-04-19T13:50:00.000Z,40.305,40.46,40.18,40.23,6810.0
2022-04-19T14:00:00.000Z,40.23,40.405,40.14,40.175,41621.0
2022-04-19T14:10:00.000Z,40.175,40.23,39.97,40.04,23317.0
2022-04-19T14:20:00.000Z,40.045,40.175,40.025,40.115,11047.0
2022-04-19T14:30:00.000Z,40.115,40.19,39.875,39.9,15005.0
2022-04-19T14:40:00.000Z,39.9,39.935,39.825,39.915,12951.0
2022-04-19T14:50:00.000Z,39.915,40.035,39.91,39.995,10609.0
2022-04-19T15:00:00.000Z,39.995,40.05,39.695,39.715,25650.0
2022-04-19T15:10:00.000Z,39.705,39.895,39.68,39.835,12640.0
2022-04-19T15:20:00.000Z,39.845,39.86,39.73,39.785,6300.0
2022-04-19T15:30:00.000Z,39.785,39.815,39.67,39.685,7229.0
2022-04-19T15:40:00.000Z,39.685,39.735,39.635,39.695,10763.0
2022-04-19T15:50:00.000Z,39.695,39.915,39.69,39.885,13858.0
2022-04-19T16:00:00.000Z,39.885,39.94,39.8,39.805,8081.0
2022-04-19T16:10:00.000Z,39.81,39.88,39.73,39.745,12760.0
2022-04-19T16:20:00.000Z,39.745,39.88,39.73,39.87,13441.0
2022-04-19T16:30:00.000Z,39.87,39.915,39.825,39.865,9761.0
2022-04-19T16:40:00.000Z,39.86,39.885,39.825,39.855,9645.0
2022-04-19T16:50:00.000Z,39.855,39.955,39.855,39.88,7606.0
2022-04-19T17:00:00.000Z,39.88,39.925,39.8,39.8,10714.0
2022-04-19T17:10:00.000Z,39.805,39.885,39.795,39.85,8503.0
2022-04-19T17:20:00.000Z,39.85,39.86,39.755,39.765,12297.0
2022-04-19T17:30:00.000Z,39.77,39.775,39.655,39.67,10454.0
2022-04-19T17:40:00.000Z,39.67,39.845,39.67,39.815,15593.0
2022-04-19T17:50:00.000Z,39.815,39.865,39.75,39.815,8763.0
2022-04-19T18:00:00.000Z,39.815,39.89,39.81,39.835,4942.0
2022-04-19T18:10:00.000Z,39.835,39.875,39.71,39.715,6589.0
2022-04-19T18:20:00.000Z,39.715,39.73,39.65,39.685,8836.0
2022-04-19T18:30:00.000Z,39.685,39.705,39.61,39.62,6414.0
2022-04-19T18:40:00.000Z,39.62,39.73,39.615,39.715,7087.0
2022-04-19T18:50:00.000Z,39.71,39.75,39.675,39.71,13912.0
2022-04-19T19:00:00.000Z,39.71,39.725,39.56,39.565,7311.0
2022-04-19T19:10:00.000Z,39.565,39.605,39.525,39.55,10887.0
2022-04-19T19:20:00.000Z,39.55,39.555,39.47,39.47,19751.0
2022-04-19T19:30:00.000Z,39.47,39.535,39.405,39.48,28460.0
2022-04-19T19:40:00.000Z,39.48,39.65,39.46,39.64,29819.0
